name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Ronald Janssen Architecten,https://www.ronaldjanssen.eu,info@ronaldjanssen.eu,,Netherlands,Amsterdam,Architecture,small,,,transformation;housing;heritage,recent_award,6,"De Telefoondienst in Amsterdam nominated for BNA Beste Gebouw van het Jaar 2026",BNA Beste Gebouw van het Jaar 2026 nominees
BETA office for architecture and the city,https://beta-office.com,info@beta-office.com,+31 20 894 3799,Netherlands,Amsterdam,Architecture,small,,,public;infrastructure;urban,recent_award,6,"Station Wildeman in Amsterdam nominated for BNA Beste Gebouw van het Jaar 2026; NDSM-plein studio",BNA Beste Gebouw van het Jaar 2026 nominees
Specht architectuur en stedenbouw,https://www.spechtarchitecten.nl,info@spechtarchitecten.nl,+31 50 711 5235,Netherlands,Groningen,Architecture,small,,,rural;housing;urbanism,recent_award,7,"Nij Nittersum in Stedum nominated for BNA Beste Gebouw van het Jaar 2026; Westerkade studio in Groningen",BNA Beste Gebouw van het Jaar 2026 nominees
Geurst & Schulze architecten,https://www.geurst-schulze.nl,info@geurst-schulze.nl,+31 70 365 0948,Netherlands,The Hague,Architecture,small,,,education;housing;brick,recent_award,6,"Schoonhovens College won the Publieksprijs at BNA Beste Gebouw van het Jaar 2026; email confirmed via the BNA member register",BNA Beste Gebouw van het Jaar 2026 / BNA register
Mei architects and planners,https://mei-arch.eu,,,Netherlands,Rotterdam,Architecture,medium,,,timber;circular;housing,recent_award,7,"SAWA in Rotterdam won BNA Beste Gebouw van het Jaar 2026 unanimously - 75% timber and reused material with 140 nest boxes; no email surfaced",BNA Beste Gebouw van het Jaar 2026 winner
Studio Ard Hoksbergen,https://ardhoksbergen.nl,,,Netherlands,Amsterdam,Architecture,solo,https://www.linkedin.com/in/ardhoksbergen/,,transformation;adaptive-reuse,recent_award,6,"Xplore Agora Amsterdam (with VDNDP) nominated for BNA Beste Gebouw van het Jaar 2026; studio in the former Hendrick de Keijser school in Amsterdam West; no email surfaced",BNA Beste Gebouw van het Jaar 2026 nominees
Maarten van Kesteren architecten,https://maartenvankesteren.com,,+31 6 3380 0322,Netherlands,The Hague,Architecture,solo,,,passivhaus;renovation;residential,recent_award,7,"Het Passiefhuis in Amsterdam won the ARC25 Niet Verhuizen Maar Verbouwen Award; domain has no MX record so the published email was cleared",ARC25 Awards
Bureau Polderman,https://polderman.nl,,,Netherlands,Rotterdam,Architecture,small,,,heritage;restoration;cultural,recent_award,5,"Co-architect on Fenix in Rotterdam, nominated for BNA Beste Gebouw van het Jaar 2026; no email surfaced",BNA Beste Gebouw van het Jaar 2026 nominees
EGM architecten,https://egm.nl,,,Netherlands,Dordrecht,Architecture,large,,,healthcare;cultural;housing,recent_award,3,"Co-architect on Fenix in Rotterdam, nominated for BNA Beste Gebouw van het Jaar 2026 - included at accurate size rather than discarded; no email surfaced",BNA Beste Gebouw van het Jaar 2026 nominees
Mecanoo architecten,https://www.mecanoo.nl,,,Netherlands,Delft,Architecture,large,,,cultural;public;international,recent_award,3,"De Nederlandsche Bank in Amsterdam nominated for BNA Beste Gebouw van het Jaar 2026 - included at accurate size rather than discarded; no email surfaced",BNA Beste Gebouw van het Jaar 2026 nominees
